Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,2.970000,2.980000,2.920000,2.950000,2.950000,2400
2020-07-15,2.920000,2.960000,2.920000,2.960000,2.960000,2600
2020-07-16,2.960000,2.960000,2.930000,2.930000,2.930000,2700
2020-07-17,2.930000,2.980000,2.930000,2.980000,2.980000,4100
2020-07-20,2.960000,2.990000,2.960000,2.990000,2.990000,2400
2020-07-21,2.980000,2.980000,2.950000,2.950000,2.950000,1600
2020-07-22,2.970000,2.990000,2.970000,2.990000,2.990000,1600
2020-07-23,2.990000,2.990000,2.990000,2.990000,2.990000,400
2020-07-24,2.990000,2.990000,2.990000,2.990000,2.990000,2500
2020-07-27,3.030000,3.050000,3.030000,3.030000,3.030000,2400
2020-07-28,3.010000,3.040000,3.010000,3.040000,3.040000,1600
2020-07-29,2.910000,3.010000,2.910000,3.010000,3.010000,2300
2020-07-30,2.870000,2.880000,2.870000,2.880000,2.880000,2900
2020-07-31,2.900000,2.900000,2.780000,2.780000,2.780000,3700
2020-08-03,2.840000,2.850000,2.820000,2.820000,2.820000,2200
2020-08-04,2.830000,2.910000,2.830000,2.890000,2.890000,5100
2020-08-05,3.000000,3.000000,2.940000,2.960000,2.960000,4200
2020-08-06,2.810000,2.880000,2.810000,2.880000,2.880000,1200
2020-08-07,2.880000,2.880000,2.880000,2.880000,2.880000,0
2020-08-10,2.950000,2.950000,2.810000,2.810000,2.810000,1300
2020-08-11,2.870000,2.910000,2.850000,2.890000,2.890000,4600
2020-08-12,2.950000,2.950000,2.950000,2.950000,2.950000,100
2020-08-13,2.960000,2.960000,2.960000,2.960000,2.960000,700
2020-08-14,2.920000,2.920000,2.890000,2.890000,2.890000,400
2020-08-17,2.940000,2.980000,2.930000,2.930000,2.930000,3600
2020-08-18,2.930000,2.960000,2.930000,2.950000,2.950000,8900
2020-08-19,2.940000,2.940000,2.930000,2.930000,2.930000,5700
2020-08-20,3.000000,3.000000,2.900000,2.950000,2.950000,3700
2020-08-21,2.840000,2.910000,2.840000,2.910000,2.910000,4400
2020-08-24,2.830000,2.890000,2.830000,2.870000,2.870000,2500
2020-08-25,2.890000,2.900000,2.870000,2.900000,2.900000,1100
2020-08-26,2.870000,2.900000,2.870000,2.900000,2.900000,4800
2020-08-27,2.900000,2.900000,2.830000,2.830000,2.830000,1000
2020-08-28,2.860000,2.860000,2.780000,2.830000,2.830000,900
2020-08-31,2.870000,2.870000,2.840000,2.840000,2.840000,1900
2020-09-01,2.900000,2.900000,2.810000,2.810000,2.810000,1900
2020-09-02,2.850000,2.950000,2.780000,2.840000,2.840000,3300
2020-09-03,2.830000,2.990000,2.780000,2.780000,2.780000,8500
2020-09-04,2.930000,2.930000,2.800000,2.800000,2.800000,1200
2020-09-08,2.800000,2.800000,2.790000,2.790000,2.790000,1600
2020-09-09,2.800000,2.880000,2.800000,2.880000,2.880000,2100
2020-09-10,2.910000,3.010000,2.890000,2.890000,2.890000,1800
2020-09-11,2.930000,2.940000,2.930000,2.940000,2.940000,600
2020-09-14,3.010000,3.140000,3.010000,3.050000,3.050000,14600
2020-09-15,3.110000,3.110000,3.060000,3.090000,3.090000,28800
2020-09-16,3.110000,3.110000,3.080000,3.080000,3.080000,5800
2020-09-17,3.040000,3.130000,3.040000,3.130000,3.130000,500
2020-09-18,3.140000,3.250000,3.140000,3.250000,3.250000,12700
2020-09-21,3.180000,3.180000,3.170000,3.170000,3.170000,600
2020-09-22,3.220000,3.240000,3.210000,3.240000,3.240000,11800
2020-09-23,3.250000,3.250000,3.150000,3.220000,3.220000,6600
2020-09-24,3.120000,3.260000,3.120000,3.150000,3.150000,1900
2020-09-25,3.160000,3.160000,3.050000,3.070000,3.070000,1600
2020-09-28,3.150000,3.150000,3.110000,3.150000,3.150000,5000
2020-09-29,3.080000,3.100000,3.020000,3.100000,3.100000,4900
2020-09-30,3.080000,3.100000,3.080000,3.090000,3.090000,6700
2020-10-01,3.080000,3.110000,3.060000,3.110000,3.110000,2700
2020-10-02,3.070000,3.070000,3.000000,3.010000,3.010000,3100
2020-10-05,2.980000,3.020000,2.980000,3.020000,3.020000,800
2020-10-06,2.980000,2.990000,2.980000,2.990000,2.990000,700
2020-10-07,3.070000,3.070000,3.060000,3.060000,3.060000,1300
